id,prediction
1,4
10,4
100,0
1000,4
1001,3
1002,0
1003,3
1007,1
1008,0
1004,2
1005,1
1006,4
1009,2
101,0
1010,3
1011,1
1012,4
1013,1
1014,0
1015,4
1016,4
1017,0
1018,1
1019,3
102,3
1020,3
1021,2
1022,0
1023,4
1024,0
1025,4
1026,3
1027,0
1028,0
1029,1
103,0
1030,1
1031,3
1032,0
1033,4
1034,0
1035,4
1036,2
1037,4
1038,3
1039,3
104,4
1040,4
1041,0
1042,1
1043,3
1044,4
1045,0
1046,0
1047,3
1048,0
1049,3
105,4
1050,0
1051,0
1052,0
1053,3
1054,3
1055,4
1059,2
1056,4
1057,2
1061,0
1058,0
106,3
1064,0
1060,1
1066,2
1062,4
1063,1
1065,3
1067,0
1070,4
1068,2
1069,3
107,2
1071,4
1072,1
1073,2
1074,1
1075,3
1076,3
1077,0
1078,4
1079,0
108,3
1080,1
1081,2
1082,1
1083,4
1085,0
1086,1
1087,0
1091,2
1088,0
1089,0
109,1
1092,0
1093,2
1094,1
1095,2
1096,3
1090,2
1097,4
1098,0
1099,0
11,2
110,4
1100,2
1101,4
1102,0
1103,4
1104,3
1105,2
1106,4
1107,0
1108,1
1109,2
111,3
1110,4
1111,2
1112,0
1113,3
1114,2
1115,4
1116,4
1117,4
1084,4
1118,4
1119,2
112,2
1120,4
1121,0
1122,0
1123,4
1124,0
1125,0
1126,1
1127,3
1128,3
1129,4
1132,0
113,4
1130,0
1131,3
1133,4
1134,0
1135,1
1136,0
1137,3
1138,4
1139,3
114,3
1140,3
1141,3
1142,3
1143,0
1144,4
1145,1
1146,0
1147,4
1148,3
1149,4
1150,2
1151,4
1152,4
115,0
1153,4
1154,3
1155,2
1156,1
1157,0
1160,0
1161,3
1158,4
1159,0
116,3
1162,2
1163,1
1164,4
1165,0
1166,1
1167,0
1168,0
1169,4
117,0
1170,1
1171,1
1172,4
1173,4
1175,0
1174,0
1176,2
1178,2
1177,1
1179,3
118,0
1180,2
1181,0
1185,4
1182,2
1183,4
1184,1
1186,3
1187,3
1188,4
1191,0
1189,2
119,4
1194,2
1190,3
1192,3
1193,1
1195,2
1196,0
1197,0
1198,3
1199,3
12,0
120,0
1202,1
1201,4
1200,0
1203,4
1205,4
1204,4
1206,0
1207,2
1208,2
1209,0
121,3
1210,4
1211,0
1212,1
1213,1
1214,3
1215,4
1216,1
1217,4
1218,4
1219,3
122,4
1220,3
1221,4
1222,3
1223,0
1224,2
1225,0
1226,3
1227,1
1228,1
1229,3
123,4
1230,3
1231,2
1232,3
1233,3
1237,1
1234,3
1235,0
1236,3
1238,4
1239,3
124,0
1240,3
1241,4
1242,2
1243,3
1244,3
1246,2
1247,1
1245,1
1248,0
1249,0
125,3
1252,0
1253,4
1254,4
1251,0
1250,1
1255,4
1256,0
1257,3
1258,0
1259,4
126,4
1260,2
1261,1
1262,3
1263,2
1264,0
1265,3
1266,2
1267,2
1268,2
1269,0
127,4
1270,1
1271,3
1272,4
1273,1
1274,4
1275,3
1276,2
1277,2
1278,1
1279,1
128,1
1280,4
1281,4
1282,1
1283,4
1284,0
1285,4
1287,3
1286,2
1288,3
1289,2
129,1
1290,0
1291,3
1292,0
1297,2
1294,0
1295,3
1296,2
1293,0
1298,2
1299,3
13,3
130,0
1300,4
1301,2
1302,0
1303,4
1307,3
1304,2
1309,4
131,0
1310,2
1311,0
1305,2
1306,4
1308,0
1312,3
1318,4
1317,2
1313,3
1314,3
1315,4
1316,4
1319,4
132,3
1321,0
1323,3
1325,2
1326,3
1320,2
1322,3
1324,3
1327,3
1330,3
1328,2
1329,4
133,2
1331,0
1335,0
1332,1
1333,0
1334,3
1336,4
134,0
1340,2
1337,3
1342,3
1338,0
1339,2
1341,3
1343,1
1344,2
1345,0
1346,1
1347,4
1348,0
1349,3
135,0
1353,3
1354,4
1350,0
1351,2
1352,4
1355,0
1356,2
1357,1
1358,1
1359,2
136,4
1360,0
1361,3
1362,0
1363,0
1364,3
1365,0
1366,4
1367,2
1368,3
1369,2
137,0
1370,3
1371,4
1372,3
1373,4
1374,0
1375,3
1376,0
1377,3
1378,3
1379,2
138,0
1380,3
1381,3
1382,4
1383,2
1384,4
1385,0
1386,4
1387,3
1388,3
1389,0
139,1
1390,4
1391,4
1392,3
1393,3
1394,2
1395,3
1396,3
1397,3
1398,1
1399,2
14,1
140,1
1400,1
1401,2
1402,2
1403,1
1404,1
1405,4
1406,3
1407,0
1408,3
1409,1
141,0
1410,0
1411,1
1412,4
1413,2
1414,2
1415,0
1416,4
1417,0
1418,4
1419,2
142,3
1420,1
1424,4
1421,0
1422,4
1423,1
1426,0
1427,4
1425,0
1428,2
1429,0
143,0
1430,1
1432,3
1431,2
1436,2
1437,3
1433,1
1434,3
1435,0
1441,2
1438,1
1439,4
1440,2
1442,4
1443,4
144,3
1444,2
1445,1
1446,0
1447,4
1448,4
1449,4
1452,3
145,4
1450,4
1451,3
1453,0
1457,2
1454,0
1455,1
1456,2
1460,0
1458,4
1462,1
1459,0
146,3
1461,1
1466,3
1463,0
1468,2
1464,2
1465,3
1467,0
1471,1
1469,3
147,0
1470,0
1472,0
1473,4
1474,0
1475,1
1476,0
148,0
1477,0
1482,3
1478,4
1479,2
1480,3
1483,3
1484,2
1485,1
1481,3
1486,0
1487,3
1488,2
1489,3
149,4
1490,3
1491,2
1492,2
1493,4
1497,4
1498,0
1494,4
1495,0
1496,0
1499,3
1501,2
15,2
150,4
1500,2
1502,3
1503,3
1504,3
1505,4
1506,3
1507,2
1508,3
1509,4
151,2
1510,0
1511,3
1512,3
1513,1
1514,0
1515,2
1516,2
1517,2
1518,2
1521,0
1519,4
152,0
1520,3
1522,1
1523,2
1525,3
1524,0
1526,1
1527,0
1529,4
1528,4
1532,4
1530,2
1531,0
153,3
1533,0
1534,2
1535,2
1536,3
1537,3
1538,0
1539,3
154,3
1540,0
1541,2
1542,4
1543,3
1544,4
1545,4
1546,1
1547,0
1548,4
1549,4
155,4
1550,4
1551,2
1552,0
1556,0
1557,2
1553,4
1554,4
1555,2
1558,3
156,2
1559,3
1561,3
1560,0
1564,0
1562,2
1563,4
1565,1
1566,4
1567,4
1568,4
1569,3
157,0
1573,4
1570,0
1571,4
1572,2
1574,3
1575,3
1576,2
1578,2
1579,3
1577,2
158,0
1581,0
1583,4
1584,1
1582,0
1586,1
1585,2
1587,1
1588,2
1589,0
159,0
1580,2
1590,0
1591,4
1592,4
1595,1
1593,4
1594,2
1596,3
1597,0
16,3
1598,1
1599,2
1602,1
160,4
1600,3
1601,1
1603,3
1604,1
1605,2
1606,3
161,1
1607,3
1611,2
1608,4
1609,3
1610,2
1615,0
1612,4
1613,4
1614,1
1616,3
1617,0
1620,1
1621,2
1622,0
1623,3
1624,4
1625,1
1626,0
1627,3
1628,4
1629,3
163,4
1630,2
1631,0
1618,4
1619,0
162,1
1632,0
1636,4
1637,0
1639,3
164,1
1638,2
1640,1
1641,1
1633,2
1634,4
1635,4
1642,0
1646,3
1643,0
1644,0
1645,1
1647,0
1648,2
